period,tone_inflation,tone_growth,tone_finstab,tone_fiscal
2016-01,-0.08333333333333329,-0.3094170403587444,-0.4728682170542635,
2016-02,-0.22388059701492538,-0.5139442231075697,-0.5105740181268882,
2016-03,-0.1034482758620689,-0.4417670682730923,-0.42361111111111105,1.0
2016-04,-0.1935483870967742,-0.4761904761904761,-0.40625,1.0
2016-05,-0.4545454545454545,-0.4808259587020649,-0.4891304347826086,1.0
2016-06,-0.08235294117647055,-0.42222222222222217,-0.4585635359116022,-0.5111111111111111
2016-07,-0.16216216216216212,-0.2896551724137931,-0.3116883116883117,-1.0
2016-08,-0.23711340206185566,-0.37735849056603776,-0.49,0.2830188679245283
2016-09,-0.2,-0.2539184952978056,-0.2768361581920904,0.34693877551020397
2016-10,0.01075268817204295,-0.21428571428571427,-0.3385826771653543,0.34693877551020397
2016-11,-0.17333333333333328,-0.28448275862068967,-0.26627218934911234,0.34693877551020397
2016-12,-0.12087912087912082,-0.22475570032573286,-0.35999999999999993,-0.5
2017-01,0.09090909090909084,-0.10679611650485432,-0.17777777777777776,-0.5
2017-02,0.2606060606060606,-0.1411042944785276,-0.2258064516129032,-0.5
2017-03,0.2606060606060606,-0.1411042944785276,-0.2258064516129032,0.0909090909090909
2017-04,-0.05617977528089883,-1.6803375507840208e-17,-0.24550898203592814,0.0909090909090909
2017-05,0.21153846153846154,0.1304347826086956,-0.2727272727272727,0.0909090909090909
2017-06,0.21153846153846154,0.1304347826086956,-0.2727272727272727,-1.0
2017-07,0.10236220472440945,0.09045226130653262,-0.3076923076923077,-1.0
2017-08,0.1452991452991453,0.11746031746031746,-0.3475177304964539,-0.1875
2017-09,0.1452991452991453,0.11746031746031746,-0.3475177304964539,-0.1875
2017-10,0.2606060606060605,0.1569506726457398,-0.18367346938775506,-1.0
2017-11,0.10382513661202186,0.2448377581120944,-0.07586206896551721,-1.0
2017-12,0.10382513661202186,0.2448377581120944,-0.07586206896551721,-0.6428571428571429
2018-01,0.2659574468085106,0.1982758620689654,-0.04242424242424239,-0.6428571428571429
2018-02,0.14285714285714277,0.20334261838440107,-0.2578616352201258,-0.6428571428571429
2018-03,0.14285714285714277,0.20334261838440107,-0.2578616352201258,0.074074074074074
2018-04,0.1677018633540372,0.12105263157894731,-0.2356687898089172,-1.0
2018-05,0.3888888888888889,0.10192837465564733,-0.2727272727272727,-1.0
2018-06,0.3888888888888889,0.10192837465564733,-0.2727272727272727,-1.0
2018-07,0.39999999999999997,0.1495601173020528,-0.26785714285714285,-1.0
2018-08,0.19672131147540978,0.034055727554179564,-0.28484848484848474,-0.8148148148148148
2018-09,0.19672131147540978,0.034055727554179564,-0.28484848484848474,-0.8148148148148148
2018-10,0.1904761904761904,0.08761329305135945,-0.2328767123287671,-0.8148148148148148
2018-11,0.13043478260869557,-0.02857142857142857,-0.3584905660377358,-0.8148148148148148
2018-12,0.13043478260869557,-0.02857142857142857,-0.3584905660377358,-0.75
2019-01,0.2252252252252252,-0.13580246913580243,-0.2587412587412587,-0.75
2019-02,-0.025641025641025574,-0.1954887218045112,-0.36969696969696964,-0.75
2019-03,-0.025641025641025574,-0.1954887218045112,-0.36969696969696964,0.1636363636363636
2019-04,-0.1834319526627219,-0.26649076517150394,-0.22522522522522523,-1.0
2019-05,-0.2230215827338129,-0.3284132841328413,-0.41605839416058393,-1.0
2019-06,-0.2230215827338129,-0.3284132841328413,-0.41605839416058393,-1.0
2019-07,-0.23232323232323232,-0.3226666666666666,-0.2185430463576159,-0.8
2019-08,-0.26436781609195403,-0.45714285714285713,-0.4782608695652174,-0.7974683544303798
2019-09,-0.26436781609195403,-0.45714285714285713,-0.4782608695652174,-0.7974683544303798
2019-10,-0.4198473282442748,-0.30246913580246915,-0.38461538461538464,-0.7974683544303798
2019-11,-0.3793103448275862,-0.38837920489296635,-0.3517241379310344,-0.7974683544303798
2019-12,-0.3793103448275862,-0.38837920489296635,-0.3517241379310344,-0.3157894736842105
2020-01,-0.24324324324324326,-0.3427230046948357,-0.39024390243902435,-0.3157894736842105
2020-02,-0.04615384615384614,-0.28138528138528135,-0.6161616161616161,-0.3157894736842105
2020-03,-0.5454545454545454,-0.75,-0.7959183673469388,-0.4074074074074074
2020-04,-0.4845360824742268,-0.416267942583732,-0.6102564102564103,-0.6
2020-05,-0.46808510638297873,-0.4095940959409594,-0.5974025974025973,-0.6
2020-06,-0.46808510638297873,-0.4095940959409594,-0.5974025974025973,-0.9
2020-07,-0.18518518518518517,-0.4369747899159664,-0.37579617834394907,-1.0
2020-08,-0.18749999999999994,-0.4191616766467065,-0.3422818791946309,-1.0
2020-09,-0.18749999999999994,-0.4191616766467065,-0.3422818791946309,-0.8715596330275229
2020-10,0.13207547169811318,-0.3456221198156682,-0.47572815533980584,-0.8715596330275229
2020-11,-0.24590163934426224,-0.2803030303030303,-0.4545454545454545,-0.8715596330275229
2020-12,-0.24590163934426224,-0.2803030303030303,-0.4545454545454545,-0.9230769230769232
2021-01,-0.22666666666666666,-0.21323529411764702,-0.40506329113924044,-0.9230769230769232
2021-02,0.15789473684210525,-0.13993174061433442,-0.3766233766233766,-0.9230769230769232
2021-03,0.15789473684210525,-0.13993174061433442,-0.3766233766233766,-0.21999999999999997
2021-04,0.2952380952380952,0.0037174721189590382,-0.21999999999999992,-0.21999999999999997
2021-05,0.35664335664335667,0.037037037037037035,-0.37572254335260113,-0.21999999999999997
2021-06,0.35664335664335667,0.037037037037037035,-0.37572254335260113,-0.7777777777777778
2021-07,0.30985915492957744,0.1660516605166051,-0.12138728323699416,-0.9746835443037974
2021-08,0.2846715328467153,0.1226993865030674,-0.1022727272727272,-0.6981132075471698
2021-09,0.2846715328467153,0.1226993865030674,-0.1022727272727272,-0.8461538461538461
2021-10,0.4342629482071713,0.21452145214521448,-0.12307692307692301,-1.0
2021-11,0.33658536585365845,0.20474777448071216,0.02255639097744359,-1.0
2021-12,0.33658536585365845,0.20474777448071216,0.02255639097744359,-1.0
2022-01,0.4470046082949308,0.2248062015503876,0.007999999999999953,-1.0
2022-02,0.4086021505376343,0.150997150997151,-0.0943396226415094,-1.0
2022-03,0.4086021505376343,0.150997150997151,-0.0943396226415094,0.3333333333333333
2022-04,0.33333333333333326,0.1760299625468165,-0.23664122137404575,0.3333333333333333
2022-05,0.4396551724137931,0.10903426791277258,-0.1223021582733813,-0.41379310344827586
2022-06,0.4396551724137931,0.10903426791277258,-0.1223021582733813,-0.027027027027027
2022-07,0.4715447154471545,0.17717717717717718,0.021582733812949617,-0.027027027027027
2022-08,0.33548387096774196,0.016393442622950758,-0.22857142857142848,-0.0204081632653061
2022-09,0.33548387096774196,0.016393442622950758,-0.22857142857142848,-0.0204081632653061
2022-10,0.37435897435897436,0.054151624548736385,0.0,-0.0204081632653061
2022-11,0.2765957446808511,-0.1158536585365853,-0.15,-0.0204081632653061
2022-12,0.2765957446808511,-0.1158536585365853,-0.15,-0.2972972972972973
2023-01,0.16666666666666663,-0.10160427807486627,-0.1314285714285714,-0.2972972972972973
2023-02,0.14503816793893126,-0.026252983293556038,-0.1550802139037433,-0.2972972972972973
2023-03,0.14503816793893126,-0.026252983293556038,-0.1550802139037433,0.5
2023-04,0.1384615384615384,-0.10055865921787706,-0.2988505747126437,0.5
2023-05,0.20187793427230047,-0.08833922261484095,-0.17647058823529413,0.5
2023-06,0.20187793427230047,-0.08833922261484095,-0.17647058823529413,0.5
2023-07,0.10752688172043012,-0.11484593837535012,-0.088235294117647,-1.0
2023-08,0.02631578947368421,-0.19653179190751446,-0.23636363636363636,0.1162790697674418
2023-09,0.02631578947368421,-0.19653179190751446,-0.23636363636363636,0.1162790697674418
2023-10,0.16894977168949765,-0.11627906976744184,-0.21081081081081074,0.1162790697674418
2023-11,0.26153846153846155,-0.03678929765886282,-0.1608391608391608,0.1162790697674418
2023-12,0.26153846153846155,-0.03678929765886282,-0.1608391608391608,0.1162790697674418
2024-01,0.1287128712871287,0.016806722689075626,-0.4038461538461538,0.1162790697674418
2024-02,0.13541666666666663,-0.07420494699646642,-0.25925925925925924,0.1162790697674418
2024-03,0.13541666666666663,-0.07420494699646642,-0.25925925925925924,0.2
2024-04,0.1004784688995215,0.061643835616438304,-0.2962962962962962,0.2
2024-05,0.19811320754716977,0.06547619047619042,-0.23497267759562837,0.2
2024-06,0.19811320754716977,0.06547619047619042,-0.23497267759562837,0.2
2024-07,-0.06410256410256403,-0.042471042471042456,-0.3870967741935484,0.2
2024-08,-0.04516129032258062,-0.13086419753086415,-0.328125,-0.4545454545454545
2024-09,-0.04516129032258062,-0.13086419753086415,-0.328125,-0.4545454545454545
2024-10,-0.14838709677419354,-0.23809523809523808,-0.22175732217573216,-0.4545454545454545
2024-11,-0.1555555555555555,-0.32577903682719545,-0.48616600790513836,-0.4545454545454545
2024-12,-0.1555555555555555,-0.32577903682719545,-0.48616600790513836,-0.4545454545454545
